ami	Freund
amie	Freundin
amitié	Freundschaft
amour	Liebe
animal	Tier
après-midi	Nachmittag
arbre	Baum
argent	Geld
art	Kunst
automne	Herbst
avion	Flugzeug
aéroport	Flughafen
banane	Banane
bateau	Schiff
beau	schön
bibliothèque	Bibliothek
bureau	Schreibtisch
bus	Bus
café	Kaffee
carte	Karte
chaise	Stuhl
chapeau	Hut
chat	Katze
chaud	warm
chaussures	Schuhe
chien	Hund
ciel	Himmel
cinq	fünf
clavier	Tastatur
danse	Tanz
deux	zwei
décembre	Dezember
eau	Wasser
elle	sie
emploi	Job
entreprise	Unternehmen
famille	Familie
femme	Ehefrau
fenêtre	Fenster
film	Film
fleur	Blume
forêt	Wald
froid	kalt
fromage	Käse
frère	Bruder
gare	Bahnhof
gouvernement	Regierung
heure	Zeit
hiver	Winter
huit	acht
hôpital	Krankenhaus
hôtel	Hotel
imprimante	Drucker
jardin	Garten
juillet	Juli
juin	Juni
justice	Gerechtigkeit
lac	See
lait	Milch
livre	Buch
loi	Gesetz
lune	Mond
lunettes	Brille
magasin	Geschäft
maison	Haus
marché	Markt
mari	Ehemann
matin	Morgen
mer	Meer
minute	Minute
montagne	Berg
montre	Uhr
musique	Musik
mère	Mutter
neige	Schnee
nous	wir
nuage	Wolke
nuit	Nacht
oiseau	Vogel
orange	Orange
ordinateur	Computer
pain	Brot
pantalon	Hose
papier	Papier
pays	Land
piscine	Schwimmbad
plage	Strand
pluie	Regen
poisson	Fisch
politique	Politik
pomme	Apfel
porte	Tür
printemps	Frühling
professeur	Lehrer
père	Vater
quatre	vier
restaurant	Restaurant
rivière	Fluss
robe	Kleid
rue	Straße
sac	Tasche
seconde	Sekunde
soeur	Schwester
soir	Abend
soleil	Sonne
soleil	Sonne
souris	Maus
sport	Sport
stylo	Kugelschreiber
table	Tisch
thé	Tee
train	Zug
travail	Arbeit
trois	drei
téléphone	Telefon
université	Universität
village	Dorf
ville	Stadt
voiture	Auto
voyage	Reise
vélo	Fahrrad
école	Schule
économie	Wirtschaft
écran	Bildschirm
étoile	Stern
étudiant	Student
été	Sommer
île	Insel
