angry	angrier
bad	worse
big	bigger
bright	brighter
cheap	cheaper
clean	cleaner
clever	cleverer
coarse	coarser
cold	colder
costly	costlier
cute	cuter
dark	darker
deep	deeper
dense	denser
dirty	dirtier
dumb	dumber
easy	easier
fast	faster
few	fewer
fierce	fiercer
good	better
handy	handier
happy	happier
hard	harder
hardy	hardier
harsh	harsher
healthy	healthier
heavy	heavier
high	higher
hot	hotter
huge	huger
hungry	hungrier
lazy	lazier
lengthy	lengthier
light	lighter
long	longer
loud	louder
low	lower
lucky	luckier
mad	madder
merry	merrier
mild	milder
moist	moister
narrow	narrower
nasty	nastier
neat	neater
nice	nicer
noisy	noisier
old	older
poor	poorer
proud	prouder
pure	purer
quiet	quieter
rich	richer
risky	riskier
rocky	rockier
rough	rougher
rude	ruder
sad	sadder
safe	safer
scary	scarier
sexy	sexier
shallow	shallower
short	shorter
slow	slower
small	smaller
smooth	smoother
soft	softer
sticky	stickier
strict	stricter
strong	stronger
subtle	subtler
sunny	sunnier
tall	taller
tasty	tastier
thick	thicker
thin	thinner
tiny	tinier
tricky	trickier
ugly	uglier
vague	vaguer
vast	vaster
weak	weaker
wealthy	wealthier
weird	weirder
wide	wider
young	younger
