angry	irate
bad	terrible
beautiful	gorgeous
big	large
boring	dull
bright	luminous
buy	purchase
calm	serene
car	automobile
cat	feline
cheap	inexpensive
child	offspring
clean	pristine
cold	frigid
complex	complicated
dark	gloomy
deep	profound
dirty	filthy
dog	canine
drink	beverage
dry	arid
dumb	ignorant
early	punctual
easy	straightforward
eat	consume
end	terminate
enemy	adversary
expensive	costly
fast	swift
find	discover
food	cuisine
friend	companion
fun	enjoyable
get	obtain
give	provide
good	excellent
happy	ecstatic
hard	difficult
help	assist
hot	sweltering
house	abode
important	significant
interesting	fascinating
keep	retain
late	tardy
long	lengthy
look	gaze
loud	noisy
make	fabricate
man	gentleman
narrow	slender
need	require
new	pristine
old	ancient
poor	impoverished
quiet	silent
rich	affluent
right	correct
run	sprint
sad	melancholy
see	perceive
sell	vend
shallow	superficial
short	brief
show	demonstrate
simple	basic
slow	sluggish
small	tiny
smart	intelligent
start	initiate
strong	robust
talk	converse
tall	lofty
tell	inform
thick	stout
thin	slim
try	attempt
ugly	homely
unimportant	trivial
use	utilize
walk	stroll
weak	frail
wet	damp
wide	broad
woman	lady
wrong	erroneous
