actor	actress
batman	batwoman
boar	sow
boy	girl
brother	sister
buck	doe
bull	cow
businessman	businesswoman
chairman	chairwoman
dad	mom
daddy	mommy
duke	duchess
emperor	empress
father	mother
fisherman	fisherwoman
fox	vixen
gentleman	lady
god	goddess
grandfather	grandmother
grandpa	grandma
grandson	granddaughter
groom	bride
he	she
headmaster	headmistress
heir	heiress
hero	heroine
hound	bitch
husband	wife
king	queen
lion	lioness
man	woman
manager	manageress
men	women
mister	miss
murderer	murderess
nephew	niece
poet	poetess
policeman	policewoman
prince	princess
ram	ewe
rooster	hen
sculptor	sculptress
sir	madam
son	daughter
stallion	mare
stepfather	stepmother
superman	superwoman
tiger	tigress
uncle	aunt
valet	maid
waiter	waitress
webmaster	webmistress
