album	albums
application	applications
area	areas
car	cars
college	colleges
council	councils
customer	customers
day	days
death	deaths
department	departments
development	developments
difference	differences
director	directors
event	events
example	examples
fact	facts
friend	friends
god	gods
government	governments
hour	hours
idea	ideas
language	languages
law	laws
member	members
month	months
night	nights
office	offices
period	periods
player	players
population	populations
problem	problems
product	products
resource	resources
river	rivers
road	roads
role	roles
science	sciences
solution	solutions
song	songs
street	streets
student	students
system	systems
thing	things
town	towns
user	users
version	versions
village	villages
website	websites
week	weeks
year	years
ability	abilities
academy	academies
activity	activities
agency	agencies
analysis	analyses
army	armies
authority	authorities
basis	bases
business	businesses
category	categories
century	centuries
child	children
city	cities
community	communities
country	countries
county	counties
datum	data
duty	duties
economy	economies
energy	energies
entry	entries
facility	facilities
family	families
formula	formulae
history	histories
industry	industries
library	libraries
life	lives
loss	losses
majority	majorities
memory	memories
opportunity	opportunities
policy	policies
property	properties
responsibility	responsibilities
safety	safeties
secretary	secretaries
security	securities
series	series
society	societies
species	species
story	stories
strategy	strategies
success	successes
technology	technologies
theory	theories
university	universities
variety	varieties
wife	wives
woman	women
