academia	college
apartment	bedroom
bird	feathers
brush	bristle
bus	seats
byte	bit
car	engine
castle	donjon
cat	whiskers
chair	seat
church	altar
comb	teeth
day	hour
deer	antler
dollar	cent
door	hinge
dress	sleeve
filename	extension
flower	petal
gigabit	megabit
gramm	milligram
guitar	string
gun	trigger
harbor	dock
jail	cell
jewellery	bead
litre	millilitre
movie	scene
orthography	hyphenation
piano	keyboard
pie	crust
poem	stanza
pub	bar
radio	receiver
railcar	suspension
seafront	harbor
shilling	pence
shirt	button
sonata	movement
staircase	step
sword	blade
table	tabletop
teapot	spout
telephone	receiver
tonne	kilogram
torso	chest
tripod	leg
typewriter	keyboard
window	pane
womb	cervix
