April	avril
August	août
December	décembre
February	février
January	janvier
July	juillet
June	juin
March	mars
May	mai
November	novembre
October	octobre
September	septembre
anger	colère
apple	pomme
banana	banane
bedroom	chambre
beer	bière
bicycle	vélo
bird	oiseau
black	noir
blue	bleu
boat	bateau
book	livre
brake	frein
bread	pain
brother	frère
brown	marron
bus	autobus
car	voiture
cat	chat
cheese	fromage
chicken	poulet
coffee	café
computer	ordinateur
daughter	fille
dog	chien
door	porte
down	bas
east	est
egg	œuf
eight	huit
eighteen	dix-huit
eleven	onze
engine	moteur
father	père
fear	peur
fifteen	quinze
fish	poisson
five	cinq
floor	plancher
flower	fleur
food	nourriture
four	quatre
fourteen	quatorze
friendship	amitié
garden	jardin
grandfather	grand-père
grandmother	grand-mère
green	vert
happiness	bonheur
he	il
hope	espérance
house	maison
jealousy	jalousie
kitchen	cuisine
left	gauche
living room	salon
love	amour
meat	viande
milk	lait
mother	mère
motorcycle	moto
nine	neuf
nineteen	dix-neuf
north	nord
one	un
pen	stylo
phone	téléphone
pink	rose
plane	avion
pride	fierté
purple	violet
red	rouge
rice	riz
right	droite
roof	toit
room	pièce
sadness	tristesse
salt	sel
seven	sept
seventeen	dix-sept
she	elle
sister	sœur
six	six
sixteen	seize
son	fils
south	sud
sugar	sucre
tea	thé
ten	dix
thirteen	treize
three	trois
tree	arbre
twelve	douze
twenty	vingt
two	deux
up	haut
wall	mur
water	eau
we	nous
west	ouest
wheel	roue
white	blanc
window	fenêtre
wine	vin
yellow	jaune
