always	Always
angry	Angry
apple	Apple
banana	Banana
bear	Bear
blue	Blue
book	Book
cat	Cat
chair	Chair
chef	Chef
computer	Computer
dance	Dance
doctor	Doctor
dog	Dog
eagle	Eagle
elephant	Elephant
engineer	Engineer
excited	Excited
forest	Forest
grape	Grape
green	Green
happily	Happily
happy	Happy
house	House
island	Island
jump	Jump
jungle	Jungle
king	King
kite	Kite
laugh	Laugh
lawyer	Lawyer
lemon	Lemon
lion	Lion
loudly	Loudly
mountain	Mountain
never	Never
note	Note
ocean	Ocean
often	Often
pen	Pen
pineapple	Pineapple
play	Play
purple	Purple
queen	Queen
quickly	Quickly
quill	Quill
rarely	Rarely
red	Red
relaxed	Relaxed
river	River
run	Run
sad	Sad
sadly	Sadly
shark	Shark
shout	Shout
sing	Sing
slowly	Slowly
softly	Softly
sun	Sun
table	Table
teacher	Teacher
think	Think
tiger	Tiger
tree	Tree
umbrella	Umbrella
violin	Violin
whale	Whale
whisper	Whisper
write	Write
xylophone	Xylophone
yarn	Yarn
yellow	Yellow
zebra	Zebra
