accuse	accusation
admire	admiration
allege	allegation
aspire	aspiration
authorize	authorization
characterize	characterization
civilize	civilization
colonize	colonization
compile	compilation
compute	computation
condense	condensation
configure	configuration
consult	consulation
continue	continuation
customize	customization
declare	declaration
degrade	degradation
deprive	deprivation
derive	derivation
determine	determination
examine	examination
expire	expiration
explore	exploration
globalize	globalization
illumine	illumination
imagine	imagination
improvize	improvization
inspire	inspiration
install	installation
maximize	maximization
minimize	minimization
modernize	modernization
oblige	obligation
observe	observation
occupy	occupation
optimize	optimization
organize	organization
perspire	perspiration
prepare	preparation
privatize	privatization
randomize	randomization
realize	realization
reorganize	reorganization
restore	restoration
specialize	specialization
stabilize	stabilization
standardize	standardization
starve	starvation
utilize	utilization
visualize	visualization
